Nombre de cellules à J0,9
Nombre de cellules à J5,0
Nombre de mitoses totale,46
Nombre de cycles mitotiques,5.11111
Nombre de mitoses normales,43
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,2
Nombre total de morts,1
Nombre de mort sans mitose,0
Nombre de mort après mitose,1
Nombre de sorties,1
Longueur moyenne entre deux cycles,152
Longueur moyenne entre T0 et première division,86
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,7,2,7,4,7,7,7,1,4
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,0,1,1,0,2,0,0,5
