Nombre de cellules à J0,5
Nombre de cellules à J5,2
Nombre de mitoses totale,2
Nombre de cycles mitotiques,0.4
Nombre de mitoses normales,1
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,0
Nombre total de morts,5
Nombre de mort sans mitose,2
Nombre de mort après mitose,3
Nombre de sorties,1
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,155
,
Nom des cellules,C1,C2,C3,C4,C5
Nombre de divisions,1,0,0,1,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,3,2
